エレベーターID,更新日,契約状況,台数,地区,契約日,保守開始月,現場区分,管理番号,旧管理番号,入札判定,契約方式,請求サイクル　数字,契約金額,点検者制約（資格者等）,現場名,現場名ﾌﾘｶﾞﾅ,現場郵便番号,現場住所,マップ,現場TEL,現場FAX,昇降機種別,その他(種別),メーカー,その他(メーカー),機種,旧機種,部品供給停止予定,照明LED化完了日,巻上機型式,駆動方式,その他(駆動方式),製造年月日,リニューアル施工年月,MFG番号,定員,その他(定員),積載,その他(積載),速度,その他(速度),停止階床,遠隔監視種別,遠隔監視装置　回線種別,遠隔監視装置　回線番号,egsコード,点検サイクル,検査有効月,検査実施月,整理番号,契約者,契約者ﾌﾘｶﾞﾅ,契約者（役職名）,契約者（法人）代表者名,契約者（法人）代表者名ﾌﾘｶﾞﾅ,契約者郵便番号,契約者住所,契約者TEL,契約者FAX,報告書郵送先,請求サイクル,所有者,所有者ﾌﾘｶﾞﾅ,所有者郵便番号,所有者住所,所有者TEL,所有者FAX,管理者,管理者ﾌﾘｶﾞﾅ,管理者郵便番号,管理者住所,管理者TEL,管理者FAX,備考,点検連絡など担当者、報告書,鍵保管場所
E-000000001,2025/7/29 11:37,契約中,1,長崎,,1987年5月,自社,N42-0001,107-0001-01,一般,YP6V,1,17000,制約なし,長崎スカイホテル,ﾅｶﾞｻｷｽｶｲﾎﾃﾙ,850-8007,長崎県長崎市江の浦18-1,"https://www.google.co.jp/maps/place/%E3%80%92852-8007+%E9%95%B7%E5%B4%8E%E7%9C%8C%E9%95%B7%E5%B4%8E%E5%B8%82%E6%B1%9F%E3%81%AE%E6%B5%A6%E7%94%BA%EF%BC%91%EF%BC%98%E2%88%92%EF%BC%91+%E9%95%B7%E5%B4%8E%E3%82%B9%E3%82%AB%E3%82%A4%E3%83%9B%E3%83%86%E3%83%AB/@32.7535447,129.8511119,17z/data=!3m1!4b1!4m6!3m5!1s0x351552de67cfc6b9:0x2a8168dc32e74f0d!8m2!3d32.7535402!4d129.8536922!16s%2Fg%2F12jsf4vdp?entry=ttu",095-861-6411,095-826-1922,油圧式エレベーター,,フジテック,,西部製リニューアル,A2HPD,,,,油圧式,,1989/1/1,,HEA2244,11人,,750㎏,,45m/min,,6st,egs,LTE,9038162610,2,"2月	4月	6月	8月	10月	12月",7月,6月,0001-01140,株式会社長崎スカイホテル,ﾅｶﾞｻｷｽｶｲﾎﾃﾙ,,,,850-8007,長崎県長崎市江の浦18-1,095-861-6411,095-826-1922,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",株式会社長崎スカイホテル,ﾅｶﾞｻｷｽｶｲﾎﾃﾙ,850-8007,長崎県長崎市江の浦１８－１,095-861-6411,095-826-1922,株式会社長崎スカイホテル,ﾅｶﾞｻｷｽｶｲﾎﾃﾙ,850-8007,長崎県長崎市江の浦１８－１,095-861-6411,095-826-1922,,,
E-000000002,2025/7/29 11:37,契約中,1,長崎,,2019年11月,自社,N42-0002,107-0008-01,一般,YP4,1,10000,制約なし,荒木ビル,ｱﾗｷﾋﾞﾙ,850-0905,長崎県長崎市船大工町2-14,"https://www.google.co.jp/maps/place/%E3%80%92850-0904+%E9%95%B7%E5%B4%8E%E7%9C%8C%E9%95%B7%E5%B4%8E%E5%B8%82%E8%88%B9%E5%A4%A7%E5%B7%A5%E7%94%BA%EF%BC%92%E2%88%92%EF%BC%91%EF%BC%94/@32.7417765,129.876425,17z/data=!3m1!4b1!4m6!3m5!1s0x3515536aaf493cb5:0x30923b8eadf5db35!8m2!3d32.741772!4d129.8790053!16s%2Fg%2F11cllsp3vs?entry=ttu",,,ロープ式エレベーター,,三菱,,西部製リニューアル,ACEE2A,,,,ロープ式,,1978/1/1,,,6人,,450㎏,,60m/min,,4st,,,,,"2月	5月	8月	11月",8月,未定,0001-00469,メイセイセキュリティ株式会社,ﾒｲｾｲｾｷｭﾘﾃｨｶﾌﾞｼｷｶﾞｲｼｬ,,,,852-8113,長崎県長崎市上野町7-17,095-844-0446,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",メイセイセキュリティ株式会社,ﾒｲｾｲｾｷｭﾘﾃｨｶﾌﾞｼｷｶﾞｲｼｬ,852-8113,長崎県長崎市上野町７－１７,095-844-0446,,株式会社Ｓｉｇｎｐｏｓｔ不動産管理システム,ｶ)ｻｲﾝﾎﾟｽﾄﾌﾄﾞｳｻﾝｶﾝﾘｼｽﾃﾑ,852-8137,長崎県長崎市若葉町１０－１２－２Ｆ,095-801-3535,,"2024.8.27消防点検の件で機械室鍵を貸してほしいと連絡あり
担当：まつしまさん　090-4999-5072",,現地(キーボックス等)
E-000000003,2025/7/29 11:37,契約中,1,長崎,,1988年11月,自社,N42-0003,107-0010-01,一般,SMV,1,33300,制約なし,万才コーポ,ﾏﾝｻﾞｲｺｰﾎﾟ,850-0033,長崎県長崎市万才町1-3,"https://www.google.co.jp/maps/place/%E3%80%92850-0033+%E9%95%B7%E5%B4%8E%E7%9C%8C%E9%95%B7%E5%B4%8E%E5%B8%82%E4%B8%87%E6%89%8D%E7%94%BA%EF%BC%91%E2%88%92%EF%BC%93+%E4%B8%87%E6%89%8D%E3%82%B3%E3%83%BC%E3%83%9D/@32.7477238,129.8719458,17z/data=!3m1!4b1!4m6!3m5!1s0x3515533ebf31b9fd:0xd4c7ad8cc65d5e0!8m2!3d32.7477193!4d129.8745261!16s%2Fg%2F12hnwzt71?entry=ttu",,,ロープ式エレベーター,,三菱,,ACEE2A,,2016年9月,,,ロープ式,,1979/3/1,,G6357,6人,,450㎏,,60m/min,,6st,egs,LTE,9082825262,175,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",10月,未定,0001-00495,万才コーポ管理組合,ﾏﾝｻﾞｲｺｰﾎﾟｶﾝﾘｸﾐｱｲ,,,,850-0033,長崎県長崎市万才町1-3,090-2396-6846,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",万才コーポ管理組合,ﾏﾝｻﾞｲｺｰﾎﾟｶﾝﾘｸﾐｱｲ,850-0033,長崎県長崎市万才町１－３,,,万才コーポ管理組合　理事長　本田様,ﾏﾝｻﾞｲｺｰﾎﾟｶﾝﾘｸﾐｱｲ,850-0033,長崎県長崎市万才町１－３,090-2396-6846,,2024.12よりSMVへ契約変更,,
E-000000004,2025/7/29 11:37,契約中,1,長崎,,1988年11月,自社,N42-0005,107-0012-01,一般,YP6V,1,15000,制約なし,尾上ビル,ｵﾉｳｴﾋﾞﾙ,850-0875,長崎県長崎市栄町1-2,"https://www.google.co.jp/maps/place/%E3%80%92850-0875+%E9%95%B7%E5%B4%8E%E7%9C%8C%E9%95%B7%E5%B4%8E%E5%B8%82%E6%A0%84%E7%94%BA%EF%BC%91%E2%88%92%EF%BC%92+%E5%B0%BE%E4%B8%8A%E3%83%93%E3%83%AB/@32.7476363,129.8744274,17z/data=!3m1!4b1!4m6!3m5!1s0x3515533f34c33dc3:0xaacd1bbab8d30bf0!8m2!3d32.7476318!4d129.8770077!16s%2Fg%2F12hlj8mfz?entry=ttu",095-895-7803,095-895-7803,ロープ式エレベーター,,三菱,,西部製リニューアル,ACE2LE,,,SKE-600F2-60,ロープ式,,1980/4/1,,G7082,9人,,600㎏,,60m/min,,6st,,,093-285-9668,,"1月	3月	5月	7月	9月	11月",7月,未定,0001-00553,有限会社尾上材木店,ｵﾉｳｴｻﾞｲﾓｸﾃﾝ,代表取締役,尾上重道,ｵﾉｳｴｼｹﾞﾐﾁ,851-0131,長崎県長崎市松原町2649,095-839-2751,095-839-2751,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",有限会社尾上材木店,ｵﾉｳｴｻﾞｲﾓｸﾃﾝ,851-0131,長崎県長崎市松原町２６４９,095-839-2751,095-839-2751,有限会社尾上材木店,ｵﾉｳｴｻﾞｲﾓｸﾃﾝ,851-0131,長崎県長崎市松原町２６４９,095-895-7803,095-895-7803,,,
E-000000005,2025/7/29 11:37,契約中,1,長崎,,2019年3月,自社,N42-0006,107-0014-01,一般,SM,1,30000,制約なし,会楽園,ｶｲﾗｸｴﾝ,850-0862,長崎県長崎市新地町10-16,"https://www.google.co.jp/maps/place/%E3%80%92850-0842+%E9%95%B7%E5%B4%8E%E7%9C%8C%E9%95%B7%E5%B4%8E%E5%B8%82%E6%96%B0%E5%9C%B0%E7%94%BA%EF%BC%91%EF%BC%90%E2%88%92%EF%BC%91%EF%BC%96+%E4%BC%9A%E6%A5%BD%E5%9C%92/@32.7419132,129.8731894,17z/data=!3m1!4b1!4m6!3m5!1s0x35155315a0cd78f9:0x2c26a2beaa493dd1!8m2!3d32.7419087!4d129.8757643!16s%2Fg%2F12hnq9jgc?entry=ttu",095-822-4261,095-824-2483,ロープ式エレベーター,,三菱,,VFGLRN,,,,,ロープ式,,1985/7/1,,G1502,9人,,600㎏,,45m/min,,5st,,,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",9月,未定,0001-00250,株式会社会楽園,ｶｲﾗｸｴﾝ,,,,850-0842,長崎県長崎市新地町10-16,095-822-4261,095-824-2483,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",株式会社会楽園,ｶｲﾗｸｴﾝ,850-0842,長崎県長崎市新地町１０－１６,085-822-4261,095-824-2483,株式会社会楽園,ｶｲﾗｸｴﾝ,850-0842,長崎県長崎市新地町１０－１６,085-822-4261,095-824-2483,,,
E-000000006,2025/7/29 11:37,契約中,1,長崎,,1988年12月,自社,N42-0007,107-0017-01,一般,SM,1,34900,制約なし,京華園,ｷｮｳｶｴﾝ,850-0842,長崎県長崎市新地町9-7,"https://www.google.co.jp/maps/place/%E3%80%92850-0842+%E9%95%B7%E5%B4%8E%E7%9C%8C%E9%95%B7%E5%B4%8E%E5%B8%82%E6%96%B0%E5%9C%B0%E7%94%BA%EF%BC%99%E2%88%92%EF%BC%97/@32.7420284,129.8730354,17z/data=!3m1!4b1!4m6!3m5!1s0x35155315a1509fa7:0xa39c8ad9ca5b017!8m2!3d32.7420239!4d129.8756103!16s%2Fg%2F11gnrpkr_3?entry=ttu",095-821-1507,095-821-5000,ロープ式エレベーター,,三菱,,西部製リニューアル,AC2,,,SKE-600F2-60,ロープ式,,1972/6/1,,G1854,9人,,600㎏,,60m/min,,6st,無し,,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",2月,未定,0001-00246,株式会社京華園,ｷｮｳｶｴﾝ,代表取締役,劉済昌,ﾘｭｳｻｲｼｮｳ,850-0842,長崎県長崎市新地町9-7,095-821-1507,095-821-5000,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",株式会社京華園,ｷｮｳｶｴﾝ,850-0842,長崎県長崎市新地町９－７,095-821-1507,095-821-5000,株式会社京華園,ｷｮｳｶｴﾝ,850-0842,長崎県長崎市新地町９－７,095-821-1507,095-821-5000,,,
E-000000007,2025/7/29 11:37,契約中,1,長崎,,1988年12月,自社,N42-0008,107-0018-01,一般,SM,1,30000,制約なし,石丸文行堂　１号機,ｲｼﾏﾙﾌﾞﾝｺｳﾄﾞｳ ｲﾁｺﾞｳｷ,850-0853,長崎県長崎市浜町8-32,"https://www.google.co.jp/maps/place/%E7%9F%B3%E4%B8%B8%E6%96%87%E8%A1%8C%E5%A0%82+%E6%9C%AC%E5%BA%97/@32.7437137,129.879199,3a,75y,301.26h,93.07t/data=!3m7!1e1!3m5!1sWZqhFOEJb3PT0Bxzu95xKw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DWZqhFOEJb3PT0Bxzu95xKw%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D349.4667%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m16!1m9!3m8!1s0x351553406522c3b9:0xa31af05264425e9!2z44CSODUwLTA4NTMg6ZW35bSO55yM6ZW35bSO5biC5rWc55S677yY4oiS77yT77yS!3b1!8m2!3d32.7438611!4d129.879166!10e5!16s%2Fg%2F12hrqrghs!3m5!1s0x351553406517d807:0x687a70c426fb5393!8m2!3d32.7438825!4d129.8791992!16s%2Fg%2F1tgf5jwf?entry=ttu",095-828-0140,095-828-0193,ロープ式エレベーター,,三菱,,ACE2LEA,,2018年9月,,,ロープ式,,1982/10/1,,G8065,9人,,600㎏,,60m/min,,5st,,,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",5月,4月,0001-00718,株式会社石丸文行堂,ｲｼﾏﾙﾌﾞﾝｺｳﾄﾞｳ,代表取締役,石丸忠重,ｲｼﾏﾙﾀﾀﾞｼｹﾞ,850-0853,長崎県長崎市浜町8-32,095-828-0140,095-828-0193,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",株式会社石丸文行堂,ｲｼﾏﾙﾌﾞﾝｺｳﾄﾞｳ,850-0853,長崎県長崎市浜町８－３２,095-828-0140,095-828-0193,株式会社石丸文行堂,ｲｼﾏﾙﾌﾞﾝｺｳﾄﾞｳ,850-0853,長崎県長崎市浜町８－３２,095-828-0140,095-828-0193,,,
E-000000008,2025/7/29 11:37,契約中,1,長崎,,1988年12月,自社,N42-0009,107-0018-02,一般,SM,1,30000,制約なし,石丸文行堂　２号機,ｲｼﾏﾙﾌﾞﾝｺｳﾄﾞｳ ﾆｺﾞｳｷ,850-0853,長崎県長崎市浜町8-32,"https://www.google.co.jp/maps/place/%E7%9F%B3%E4%B8%B8%E6%96%87%E8%A1%8C%E5%A0%82+%E6%9C%AC%E5%BA%97/@32.7437137,129.879199,3a,75y,301.26h,93.07t/data=!3m7!1e1!3m5!1sWZqhFOEJb3PT0Bxzu95xKw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DWZqhFOEJb3PT0Bxzu95xKw%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D349.4667%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m16!1m9!3m8!1s0x351553406522c3b9:0xa31af05264425e9!2z44CSODUwLTA4NTMg6ZW35bSO55yM6ZW35bSO5biC5rWc55S677yY4oiS77yT77yS!3b1!8m2!3d32.7438611!4d129.879166!10e5!16s%2Fg%2F12hrqrghs!3m5!1s0x351553406517d807:0x687a70c426fb5393!8m2!3d32.7438825!4d129.8791992!16s%2Fg%2F1tgf5jwf?entry=ttu",095-828-0140,095-828-0193,ロープ式エレベーター,,三菱,,ACE2LEA,,2018年9月,,,ロープ式,,1982/10/1,,G8065,13人,,900㎏,,60m/min,,7st,,,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",5月,4月,0001-00719,株式会社石丸文行堂,ｲｼﾏﾙﾌﾞﾝｺｳﾄﾞｳ,代表取締役,石丸忠重,ｲｼﾏﾙﾀﾀﾞｼｹﾞ,850-0853,長崎県長崎市浜町8-32,095-828-0140,095-828-0193,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",株式会社石丸文行堂,ｲｼﾏﾙﾌﾞﾝｺｳﾄﾞｳ,850-0853,長崎県長崎市浜町８－３２,095-828-0140,095-828-0193,株式会社石丸文行堂,ｲｼﾏﾙﾌﾞﾝｺｳﾄﾞｳ,850-0853,長崎県長崎市浜町８－３２,095-828-0140,095-828-0193,,,
E-000000009,2025/7/29 11:37,契約中,1,長崎,,1988年12月,自社,N42-0010,107-0020-01,一般,YP4V,1,15000,制約なし,菜の花ビル,ﾅﾉﾊﾅﾋﾞﾙ,850-0854,長崎県長崎市銀屋町3-12,"https://www.google.co.jp/maps/place/%E3%80%92850-0854+%E9%95%B7%E5%B4%8E%E7%9C%8C%E9%95%B7%E5%B4%8E%E5%B8%82%E9%8A%80%E5%B1%8B%E7%94%BA%EF%BC%93%E2%88%92%EF%BC%91%EF%BC%92+%E8%8F%9C%E3%81%AE%E3%81%AF%E3%81%AA%E3%83%93%E3%83%AB/@32.7459523,129.8784891,17z/data=!3m1!4b1!4m6!3m5!1s0x351553412a7a2abf:0xd4e9ba86bfbe4226!8m2!3d32.7459478!4d129.881064!16s%2Fg%2F12hkj7jrn?entry=ttu",095-828-0718,095-828-0686,ロープ式エレベーター,,三菱,,西部製リニューアル,ACE2LE,,,,ロープ式,,1981/9/1,,,6人,,450㎏,,60m/min,,5st,egs,LTE,7074219638,19,"2月	5月	8月	11月",2月,未定,0001-00662,株式会社童話館,ﾄﾞｳﾜｶﾝ,,,,850-0055,長崎県長崎市中町5-21,095-828-0718,095-828-0686,童話館,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",株式会社童話館,ﾄﾞｳﾜｶﾝ,850-0055,長崎県長崎市中町５－２１,095-828-0718,095-28-0686,株式会社童話館,ﾄﾞｳﾜｶﾝ,850-0055,長崎県長崎市中町５－２１,095-828-0718,095-28-0686,,,
E-000000010,2025/7/29 11:37,契約中,1,長崎,,1989年1月,自社,N42-0013,107-0026-01,一般,SP,1,17000,制約なし,エムズ流通企画ビル,ｴﾑｽﾞﾘｭｳﾂｳｷｶｸﾋﾞﾙ,850-0018,長崎県長崎市伊勢町3-2,"https://www.google.co.jp/maps/place/%E3%80%92850-0018+%E9%95%B7%E5%B4%8E%E7%9C%8C%E9%95%B7%E5%B4%8E%E5%B8%82%E4%BC%8A%E5%8B%A2%E7%94%BA%EF%BC%93%E2%88%92%EF%BC%92+%E3%82%A2%E3%82%B3%E3%83%A4%E3%83%93%E3%83%AB/@32.7521376,129.8824758,17z/data=!3m1!4b1!4m6!3m5!1s0x3515534ee7191485:0x8df22979316e719b!8m2!3d32.7521331!4d129.8850507!16s%2Fg%2F11dxmdrzh4?entry=ttu",095-849-0808,,ロープ式エレベーター,,三菱,,ACE2LE,,2018年9月,,,ロープ式,,1980/7/1,,G7261,6人,,450㎏,,45m/min,,5st,無し,,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",8月,未定,0001-00577,有限会社エムズ流通企画,ｴﾑｽﾞﾘｭｳﾂｳｷｶｸ,代表,西村政高,ﾆｼﾑﾗﾏｻﾀｶ,852-8135,長崎県長崎市樺島町9-26　はやせマンション203号,095-849-0808,,,"1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月",有限会社エムズ流通企画,ｴﾑｽﾞﾘｭｳﾂｳｷｶｸ,852-8135,長崎県長崎市樺島町９－２６　はやせマンション２０３号,095-849-0808,,有限会社エムズ流通企画,ｴﾑｽﾞﾘｭｳﾂｳｷｶｸ,852-8135,長崎県長崎市樺島町９－２６　はやせマンション２０３号,095-849-0808,,別名；あこやビル(ｱｺﾔﾋﾞﾙ),,
